UniqueID;fundamental_advice;fund_advice_nrscore;uncle_stock_score;growth_score;value_score;greenblatt_score;piotroski_score;levermann_score;predictability_score;price_iv_buffett;iv_price_buf;rev_price;PL12M
63;5;5;0,84;0,62;0,68;0,25;4,35;0,46;0,45;0,36;0,36;1,82;1,6359
64;4;4;0,75;0,74;0,51;1,02;9,46;6,65;0,77;2,65;2,65;0,8119;-0,4558
65;2;2;0,55;0,64;0,46;0,34;9,56;3,63;0,58;6,96;6,96;0,2301;0,2227
66;4;4;0,72;0,6;0,48;0,1;7,63;-2,46;0,64;3,71;3,71;1,25;-0,2427
67;3;3;0,63;0,59;0,53;0,28;7,44;2,7;0,46;4,38;4,38;0,5228;-0,3599
68;5;5;0,79;0,69;0,67;0,56;9,51;2,64;0,63;0,019;0,019;0,4726;-0,1598
69;2;2;0,47;0,49;0,47;0,35;9,51;2,65;0,27;3,86;3,86;1,81;0,0972
70;4;4;0,67;0,6;0,58;0,74;9,56;6,72;0,55;2,3;2,3;0,3446;-0,0309
71;4;4;0,63;0,59;0,55;1,06;9,48;5,69;0,27;;;1,02;-0,0449
72;4;4;0,65;0,58;0,57;0,43;9,57;1,67;0,55;3,21;3,21;2,08;0,5064
73;5;5;0,84;0,65;0,66;1,1;7,54;8,8;0,4;0,4;0,4;9,71;0,32
74;3;3;0,72;0,64;0,55;0,98;7,4;6,62;0,26;1,04;1,04;1,04;0,345
75;5;5;0,88;0,83;0,58;0,72;4,54;6,65;0,63;4,94;4,94;0,8672;-0,3405
76;4;4;0,72;0,64;0,58;0,57;9,45;8,57;0,36;0,55;0,55;1,7;0,3504
77;4;4;0,66;0,56;0,49;0,11;9,61;0,65;0,47;3,36;3,36;2,02;0,2323
78;4;4;0,7;0,68;0,58;0,39;6,38;7,68;0,37;0,2;0,2;0,3448;0,2694
79;4;4;0,67;0,64;0,58;0,46;5,39;6,62;0,42;2,09;2,09;2,69;0,2069
80;4;4;0,63;0,52;0,53;0,4;9,56;4,7;0,52;1,87;1,87;0,2923;0,1417
81;5;5;0,78;0,68;0,64;0,45;7,43;6,61;0,81;0,4;0,4;0,4912;0,1145
82;5;5;0,84;0,68;0,84;1,15;4,51;3,66;0,75;0,68;0,68;4,14;0,3517
83;5;5;0,78;0,63;0,54;0,92;7,42;-1,56;0,71;1,32;1,32;0,2159;0,6111
84;3;3;0,66;0,65;0,51;0,53;7,41;4,64;0,48;8,53;8,53;0,336;0,0332
85;4;4;0,7;0,71;0,57;0,34;9,57;3,6;0,65;0,69;0,69;0,3668;0,096
86;4;4;0,73;0,63;0,54;0,31;9,49;4,58;0,66;0,45;0,45;0,6149;0,1516
87;5;5;0,82;0,73;0,55;0,6;7,43;3,64;0,65;0,45;0,45;0,2533;0,1848
88;5;5;0,85;0,62;0,62;0,6;6,48;3,55;0,57;0,55;0,55;2,45;0,4352
89;5;5;0,79;0,63;0,64;0,53;8,59;5,71;0,67;0,63;0,63;1,55;0,5176
90;4;4;0,78;0,78;0,54;0,87;7,43;4,63;0,65;1,05;1,05;0,1238;-0,0635
91;4;4;0,73;0,65;0,55;0,42;6,43;6,58;0,34;0,36;0,36;2,01;0,1721
